(1, 512) (8, 128, 128, 4) dense
(1, 32, 9, 9, 16) (32, 32, 3, 3, 4, 16, 4) (1, 1)
(1, 32, 9, 9, 16) (32, 32, 3, 3, 4, 16, 4) (1, 1)
(1, 16, 14, 14, 16) (32, 16, 1, 1, 4, 16, 4) (2, 2)
(1, 16, 16, 16, 16) (16, 16, 3, 3, 4, 16, 4) (1, 1)
(1, 16, 16, 16, 16) (16, 16, 3, 3, 4, 16, 4) (1, 1)
(1, 8, 28, 28, 16) (16, 8, 1, 1, 4, 16, 4) (2, 2)
(1, 8, 30, 30, 16) (8, 8, 3, 3, 4, 16, 4) (1, 1)
(1, 8, 30, 30, 16) (8, 8, 3, 3, 4, 16, 4) (1, 1)
(1, 4, 56, 56, 16) (8, 4, 1, 1, 4, 16, 4) (2, 2)
(1, 4, 58, 58, 16) (4, 4, 3, 3, 4, 16, 4) (1, 1)
(1, 4, 58, 58, 16) (4, 4, 3, 3, 4, 16, 4) (1, 1)
(1, 4, 58, 58, 16) (4, 4, 3, 3, 4, 16, 4) (1, 1)
(1, 1, 230, 230, 4) (4, 1, 7, 7, 1, 16, 4) (2, 2)
(1, 8, 30, 30, 16) (8, 8, 3, 3, 4, 16, 4) (1, 1)
(1, 4, 58, 58, 16) (8, 4, 3, 3, 4, 16, 4) (2, 2)
(1, 16, 16, 16, 16) (16, 16, 3, 3, 4, 16, 4) (1, 1)
(1, 8, 30, 30, 16) (16, 8, 3, 3, 4, 16, 4) (2, 2)
(1, 32, 9, 9, 16) (32, 32, 3, 3, 4, 16, 4) (1, 1)
(1, 16, 16, 16, 16) (32, 16, 3, 3, 4, 16, 4) (2, 2)
(1, 512) (8, 128, 128, 4) dense
(1, 32, 9, 9, 16) (32, 32, 3, 3, 4, 16, 4) (1, 1)
(1, 32, 9, 9, 16) (32, 32, 3, 3, 4, 16, 4) (1, 1)
(1, 16, 14, 14, 16) (32, 16, 1, 1, 4, 16, 4) (2, 2)
(1, 16, 16, 16, 16) (16, 16, 3, 3, 4, 16, 4) (1, 1)
